,seq_name,tag_id,x_pos,y_pos,z_pos,activity,outlier_score,outlier_prediction
2,A01,Belt,4.359101295471191,1.8264557123184204,0.9688209891319276,walking,0.03363273000505207,1
6,A01,Belt,4.373908042907715,1.887959599494934,0.7690189480781555,walking,0.0956755989137853,1
32,A01,Belt,4.327484130859375,1.9038004875183103,1.0139302015304563,walking,0.042142695613903824,1
56,A01,Belt,4.38154935836792,1.9093608856201167,0.9821466207504272,walking,0.047897706228245185,1
63,A01,Belt,4.232975482940674,1.9764504432678225,0.8889436721801758,walking,0.07626718035355995,1
65,A01,Belt,4.144715309143066,1.938032865524292,0.9601329565048218,walking,0.06321870247479011,1
69,A01,Belt,4.177395820617676,1.9165822267532349,0.9360881447792052,walking,0.07831494989239396,1
72,A01,Belt,4.106980800628662,1.9098222255706787,0.9110671281814576,walking,0.0997558344054067,1
76,A01,Belt,4.08933687210083,1.861572861671448,0.8914951086044312,walking,0.10661005205182911,1
79,A01,Belt,4.101933479309082,1.825102925300598,0.8365544080734253,walking,0.11852732258924681,1
83,A01,Belt,4.07015323638916,1.71868634223938,0.8431304097175598,walking,0.12459143333955691,1
86,A01,Belt,3.4449212551116943,1.738551139831543,0.8248797655105591,walking,0.16325207232548344,1
90,A01,Belt,3.358275890350342,1.802184581756592,0.8253445029258728,walking,0.15824142593306934,1
97,A01,Belt,3.3602914810180664,1.966989278793335,0.9167373180389404,walking,0.16413246673847742,1
99,A01,Belt,3.379532814025879,1.8726269006729128,0.8041719794273376,walking,0.15912376255343996,1
100,A01,Belt,3.33382511138916,1.972615957260132,0.7828306555747986,walking,0.17560496144465582,1
102,A01,Belt,3.266451597213745,1.940006256103516,0.7445037961006165,walking,0.17865539873870845,1
106,A01,Belt,3.505659818649292,1.970820665359497,0.7655090093612671,walking,0.16111900250852046,1
109,A01,Belt,3.41900897026062,1.9674769639968872,0.7316285371780396,walking,0.17636863597493702,1
112,A01,Belt,3.3842272758483887,1.9751328229904173,0.6998797059059143,walking,0.16730489574427554,1
115,A01,Belt,3.382843494415283,1.9916499853134155,0.6554752588272095,walking,0.18975965602645273,1
119,A01,Belt,3.330217838287353,1.932721495628357,0.62093585729599,walking,0.1820011959744321,1
125,A01,Belt,3.2176551818847656,1.9660470485687256,0.6811047792434692,sitting down,0.19502026866029393,1
128,A01,Belt,3.3724687099456787,1.8245257139205933,0.8238134980201721,sitting down,0.16329245412262605,1
132,A01,Belt,3.072329521179199,1.8129087686538696,0.6934511065483093,sitting down,0.15482105166979937,1
