,seq_name,tag_id,x_pos,y_pos,z_pos,activity,outlier_score,outlier_prediction
51,A01,Chest,4.491220474243164,1.6067250967025757,1.235031008720398,walking,0.02649229362270389,1
68,A01,Chest,4.243491172790527,1.8112541437149048,1.2102545499801636,walking,0.036444249535641404,1
71,A01,Chest,4.202301979064941,1.805513978004456,1.1912132501602173,walking,0.07852910935755886,1
75,A01,Chest,4.186062335968018,1.84223210811615,1.1890835762023926,walking,0.07852910935755886,1
78,A01,Chest,4.15580940246582,1.472303867340088,1.2093499898910522,walking,0.10122477110977507,1
82,A01,Chest,4.170763969421387,1.461345076560974,1.1642377376556396,walking,0.10537362142149476,1
85,A01,Chest,4.062352657318115,1.5653574466705322,1.1613589525222778,walking,0.10956174444183597,1
89,A01,Chest,4.023120880126953,1.556408405303955,1.1723911762237549,walking,0.10910135313859043,1
105,A01,Chest,3.478180408477783,2.0931828022003174,1.1722389459609983,walking,0.12372052569250308,1
108,A01,Chest,3.427164316177368,2.089765310287476,1.1997156143188477,walking,0.1263849259349693,1
111,A01,Chest,3.3557796478271484,2.096869707107544,1.1268779039382937,walking,0.13869646001079755,1
114,A01,Chest,3.427621364593506,1.979052782058716,1.1638888120651243,walking,0.13808404627908366,1
118,A01,Chest,3.390031576156616,2.0306236743927,1.161410212516785,walking,0.14019953098899757,1
121,A01,Chest,3.3011958599090576,1.8142645359039309,1.010230541229248,walking,0.15972904875072852,1
124,A01,Chest,3.1416285037994385,1.725569486618042,1.088701844215393,sitting down,0.16447132270686343,1
127,A01,Chest,3.234391927719116,1.8192451000213623,1.1302375793457031,sitting down,0.16266174588591392,1
131,A01,Chest,3.215184211730957,1.8264974355697632,1.005605936050415,sitting down,0.16358130295501483,1
134,A01,Chest,3.1987462043762207,1.923019289970398,1.075116753578186,sitting down,0.16203958390779322,1
137,A01,Chest,3.204945802688598,1.8621782064437864,1.025074124336243,sitting down,0.16735339735146687,1
140,A01,Chest,3.148358106613159,1.954798698425293,0.9516353011131288,sitting down,0.1665334205668319,1
144,A01,Chest,3.1163101196289062,1.9829401969909668,0.87375408411026,sitting down,0.16954932746590007,1
147,A01,Chest,3.1120293140411377,1.992982268333435,0.8604591488838196,sitting down,0.1659078477482983,1
151,A01,Chest,3.1392078399658203,1.914953351020813,0.8283846378326416,sitting down,0.1584702998710077,1
154,A01,Chest,3.093666076660156,2.024742841720581,0.9038364887237548,sitting down,0.16630693068593527,1
158,A01,Chest,3.060125827789306,2.095766544342041,0.7639550566673279,sitting down,0.14174866239753403,1
161,A01,Chest,3.0595319271087646,2.154872179031372,0.8172391057014465,sitting down,0.13422217981597512,1
165,A01,Chest,2.929588079452514,2.3481523990631104,0.8804551959037781,sitting down,0.102755442894359,1
168,A01,Chest,2.8137853145599365,2.284674406051636,1.0303109884262085,sitting down,0.1265807753376874,1
